no;urq_;urq
215;539.6387855;442.0000521
216;463.5990211;353.6012974
217;562.6400045;468.0007975
218;736.7583831;526.7573468
219;1415.446064;890.2390303
220;2208.789706;1318.803282
221;636.0009137;331.0005378
222;759.4010269;416.4015254
223;1078.8382;596.8405546
224;499.7510128;408.499218
225;1020.022536;775.0209025
226;1595.161079;1138.162046
227;776.5957929;485.5197662
228;1230.923525;772.7611424
229;1807.952015;993.9630173
230;415.440748;305.4389737
231;440.5174242;306.5190786
232;541.2005973;299.199328
233;581.3598917;468.0007975
234;743.0772428;522.6019059
235;1057.676711;750.3201634
